AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad,Change,Hour,Day,Month,Delta1,Delta3,Mean
53.08074678798753,55.993124624668596,22.58648373054941,1.160135352324802,49.321712412580965,5.965589333333628,15.544623271832918,50.00006961050303,730.1393873292286,0.10004290120988757,251627.99833752497,275.77057497437,60.00143662848907,698.5318055453847,22.0,0,1,1,22.0,22.0,22.0
55.93586014682771,61.67145325694742,26.8850729405284,1.155906592791046,53.49128956239561,3.703870399980517,18.58741847530441,50.00020751601494,730.000239173782,0.09930217717267067,251628.00128022046,275.7695300202376,60.00143714453869,688.406503451158,25.0,1,1,1,6.0,28.0,25.0
59.87382992430185,68.7103025222642,31.559711569065684,1.1566819235892416,61.00610417978366,2.6143854876617363,24.650271057293402,49.99969025646588,729.8546203033591,0.1007115672659228,251628.00078267785,275.77537722469674,60.000047482888185,696.9789966788358,26.66666666666667,2,1,1,2.0,30.0,26.66666666666667
58.480902449975815,66.42278153821242,35.55608043880692,1.2060531364136202,60.90557718705512,1.6398060236218557,26.20627449231434,50.00024537896982,732.3746245205949,0.0986782083877517,251627.99984523648,275.8340023885559,60.003439886287616,771.4696772061071,29.25,3,1,1,7.0,15.0,29.25
56.43451408994687,61.90398770016281,33.81724476541934,1.4320512750571777,60.92326358508543,1.6680145300824876,25.65852860991283,49.99996068739478,732.3386971608023,0.1000624134036541,251627.99996289032,275.8356836324547,60.00493578972488,784.7174916139395,30.0,4,1,1,0.1,5.0,30.0
56.542941367999056,61.9788189412652,29.44680534706782,1.5542929530316416,62.589998198066155,2.5982882573280612,28.253388194734192,50.00187462511792,732.4141004612115,0.10081302549521244,251628.00011674265,275.83391092492263,60.00395405378642,781.7452425444224,30.0,5,1,1,0.1,0.1,30.0
52.88743970610594,56.01807297164586,26.255893069112467,1.4414377015257342,60.936603215041224,1.9603763234843488,29.559170192565446,50.00075824166644,734.5705442701285,0.10000253707010537,251628.00049590954,275.86652210898154,60.00132322699692,770.8562163402491,29.285714285714285,6,1,1,0.1,0.1,29.285714285714285
51.51323678505268,52.67622930208631,28.50068165676488,1.4677485401975665,58.291024447956076,1.548043552403625,27.059923646599714,49.99976955050904,734.5449646706917,0.10104765674466466,251627.99982487888,275.87377736812766,60.0011245804312,772.0160804386702,29.5,7,1,1,6.0,0.1,29.5
62.924492250968974,74.87288959947763,34.141400701165125,1.6314032293215046,56.420709925995254,1.7421066766323396,25.08671725178524,49.99872222182443,734.9994908243559,0.09955345836560124,251627.99878964823,275.87292096336404,60.00266728664007,760.235251343307,29.66666666666667,8,1,1,0.1,1.0,29.66666666666667
77.96033268369195,106.13122522922345,38.586417341082246,1.6652102838962457,52.41618040694638,3.794397380595268,26.675575121908512,49.99910703928746,736.0519136642616,0.1007090703723846,251627.9992698177,275.86034324289125,60.003438800499495,694.7693465440758,30.8,9,1,1,10.0,16.0,30.8
