date,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
2018-01-02 22:00:00,59.0,,42.0,0.9,45.0,13.0,6.0,,,,,,,
2018-01-02 23:00:00,18.0,18.0,5.0,0.3,24.0,39.0,2.0,,,,,,,
2018-01-03 00:00:00,26.0,26.0,12.0,0.4,20.0,43.0,2.0,50.0,737.1875,0.025000000392001124,270600.0,275.8423999023437,60.00393199157715,692.5
2018-01-03 01:00:00,22.0,22.0,12.0,0.4,19.0,43.0,2.0,,,,,,,
2018-01-03 02:00:00,29.0,29.0,3.0,0.3,19.0,41.0,2.0,,,,,,,
2018-01-03 03:00:00,24.0,24.0,11.0,0.4,19.0,39.0,2.0,50.0,739.3125,0.025000000347999856,270600.0,275.86459991455075,60.007499992370605,765.0
2018-01-03 04:00:00,14.0,14.0,3.0,0.4,18.0,39.0,2.0,,,,,,,
2018-01-03 05:00:00,14.0,,10.0,0.4,18.0,38.0,2.0,,,,,,,
2018-01-03 06:00:00,12.0,6.0,5.0,0.4,19.0,37.0,2.0,50.0,734.3125,0.02500000034100004,270600.0,275.8760998535156,60.01015199279785,778.0625
2018-01-03 07:00:00,13.0,8.0,5.0,0.4,19.0,40.0,2.0,,,,,,,
2018-01-03 08:00:00,12.0,10.0,7.0,0.4,23.0,32.0,2.0,,,,,,,
2018-01-03 09:00:00,15.0,15.0,7.0,0.5,24.0,35.0,2.0,50.0,739.3125,0.02500000026000105,270444.0,275.8757000732422,60.00480799102783,685.5625
2018-01-03 10:00:00,21.0,21.0,6.0,0.5,24.0,37.0,2.0,,,,,,,
2018-01-03 11:00:00,21.0,21.0,14.0,0.4,19.0,46.0,2.0,,,,,,,
2018-01-03 12:00:00,23.0,23.0,11.0,0.4,15.0,51.0,2.0,50.0,738.3125,0.02500000023700111,270476.0,275.86449981689447,60.00164399719238,685.0
2018-01-03 13:00:00,33.0,33.0,8.0,0.4,12.0,55.0,2.0,,,,,,,
2018-01-03 14:00:00,33.0,33.0,12.0,0.4,14.0,55.0,2.0,,,,,,,
2018-01-03 15:00:00,24.0,24.0,9.0,0.4,15.0,55.0,2.0,50.0,738.0625,0.025000000213000924,270248.0,275.86290008544916,60.009707992553714,685.0
2018-01-03 16:00:00,21.0,19.0,15.0,0.3,19.0,51.0,2.0,,,,,,,
2018-01-03 17:00:00,30.0,30.0,13.0,0.3,25.0,41.0,2.0,,,,,,,
2018-01-03 18:00:00,27.0,27.0,9.0,0.3,29.0,33.0,2.0,50.0,738.25,0.02500000065500103,270160.0,275.84609985351557,60.00530799102784,685.0
2018-01-03 19:00:00,61.0,72.0,24.0,0.6,53.0,6.0,2.0,,,,,,,
2018-01-03 20:00:00,60.0,70.0,40.0,1.1,56.0,4.0,5.0,,,,,,,
2018-01-03 21:00:00,54.0,58.0,33.0,0.9,49.0,2.0,2.0,50.0,737.4375,0.02500000069500134,269988.0,275.83440002441404,60.0077679977417,685.0
2018-01-03 22:00:00,78.0,72.0,57.0,1.1,58.0,3.0,5.0,,,,,,,
2018-01-03 23:00:00,81.0,75.0,60.0,1.1,57.0,3.0,5.0,,,,,,,
2018-01-04 00:00:00,68.0,56.0,49.0,1.0,57.0,2.0,4.0,50.0,751.8125,0.025000000706000256,270120.0,275.83100006103507,60.00331199645996,688.1875
2018-01-04 01:00:00,68.0,77.0,49.0,1.1,61.0,2.0,7.0,,,,,,,
2018-01-04 02:00:00,74.0,,54.0,1.1,51.0,2.0,6.0,,,,,,,
