date,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
2018-01-03 21:00:00,26.0,24.0,18.0,0.4,22.0,47.0,4.0,50.0,735.125,0.02500000065699965,268284.0,275.82259979248045,60.00774799346924,685.0
2018-01-03 22:00:00,28.0,28.0,17.0,0.4,37.0,26.0,5.0,,,,,,,
2018-01-03 23:00:00,37.0,33.0,26.0,0.6,35.0,26.0,7.0,,,,,,,
2018-01-04 00:00:00,35.0,35.0,21.0,0.5,30.0,31.0,7.0,50.0,750.375,0.025000000799000263,268120.0,275.81669982910154,60.002135993957516,688.0625
2018-01-04 01:00:00,39.0,39.0,24.0,0.6,45.0,13.0,6.0,,,,,,,
2018-01-04 02:00:00,50.0,50.0,30.0,0.8,51.0,7.0,6.0,,,,,,,
2018-01-04 03:00:00,41.0,41.0,27.0,0.5,43.0,14.0,8.0,50.00023750305176,751.9375,0.02500000071700104,267908.0,275.8388998413085,60.0065239944458,711.1875
2018-01-04 04:00:00,30.0,30.0,18.0,0.5,41.0,16.0,7.0,,,,,,,
2018-01-04 05:00:00,27.0,25.0,19.0,0.5,36.0,24.0,7.0,,,,,,,
2018-01-04 06:00:00,29.0,29.0,16.0,0.5,33.0,28.0,6.0,50.0,753.5,0.02500000070700049,267336.0,275.8522998046875,60.00466399383545,708.6875
2018-01-04 07:00:00,26.0,26.0,14.0,0.5,27.0,36.0,6.0,,,,,,,
2018-01-04 08:00:00,25.0,25.0,15.0,0.5,33.0,28.0,7.0,,,,,,,
2018-01-04 09:00:00,34.0,34.0,16.0,0.6,39.0,23.0,7.0,50.0,753.6875,0.02500000071800128,267140.0,275.85070007324214,60.00201599121094,685.5625
2018-01-04 10:00:00,36.0,36.0,19.0,0.6,39.0,24.0,8.0,,,,,,,
2018-01-04 11:00:00,41.0,41.0,21.0,0.6,38.0,27.0,8.0,,,,,,,
2018-01-04 12:00:00,40.0,40.0,23.0,0.6,33.0,34.0,9.0,50.0,752.4375,0.025000000830000268,266976.0,275.83759979248043,60.0035239944458,685.0
2018-01-04 13:00:00,31.0,31.0,20.0,0.6,29.0,40.0,8.0,,,,,,,
2018-01-04 14:00:00,26.0,26.0,18.0,0.5,26.0,45.0,7.0,,,,,,,
2018-01-04 15:00:00,27.0,27.0,17.0,0.5,27.0,43.0,7.0,50.0,751.75,0.025000000900000336,266972.0,275.82979980468747,60.00373999786377,685.0
2018-01-04 16:00:00,34.0,34.0,19.0,0.5,31.0,39.0,7.0,,,,,,,
2018-01-04 17:00:00,38.0,38.0,21.0,0.5,38.0,30.0,7.0,,,,,,,
2018-01-04 18:00:00,39.0,39.0,25.0,0.6,45.0,24.0,7.0,50.0,750.6875,0.02500000094000064,266608.0,275.8189999389648,60.00173999786377,685.0
2018-01-04 19:00:00,42.0,42.0,23.0,0.6,56.0,8.0,7.0,,,,,,,
2018-01-04 20:00:00,54.0,57.0,26.0,0.6,63.0,2.0,7.0,,,,,,,
2018-01-04 21:00:00,58.0,65.0,35.0,0.8,62.0,2.0,8.0,50.0,748.4375,0.025000000959999862,266456.0,275.79540008544916,60.00125199127197,685.0
2018-01-04 22:00:00,63.0,76.0,38.0,0.9,63.0,2.0,10.0,,,,,,,
2018-01-04 23:00:00,61.0,71.0,37.0,0.9,60.0,2.0,9.0,,,,,,,
2018-01-05 00:00:00,55.0,60.0,31.0,0.8,57.0,2.0,6.0,50.0,734.875,0.025000001508999614,266440.0,275.80619995117183,60.00246399688721,694.5625
2018-01-05 01:00:00,54.0,58.0,33.0,0.8,56.0,2.0,5.0,,,,,,,
2018-01-05 02:00:00,,,,,,,,,,,,,,
2018-01-05 03:00:00,52.0,53.0,28.0,0.6,58.0,2.0,6.0,50.0,736.4375,0.025000000827999788,266532.0,275.87220001220703,60.00600799560547,778.0625
2018-01-05 04:00:00,52.0,53.0,25.0,0.6,50.0,6.0,6.0,,,,,,,
2018-01-05 05:00:00,42.0,42.0,21.0,0.6,47.0,7.0,5.0,,,,,,,
2018-01-05 06:00:00,40.0,40.0,22.0,0.6,45.0,5.0,4.0,50.0,740.125,0.025000001302000138,265956.0,275.9002999877929,60.00669999694824,768.875
2018-01-05 07:00:00,42.0,42.0,22.0,0.6,47.0,5.0,5.0,,,,,,,
2018-01-05 08:00:00,43.0,43.0,25.0,0.7,53.0,2.0,6.0,,,,,,,
2018-01-05 09:00:00,42.0,42.0,24.0,0.7,54.0,9.0,6.0,50.0,741.0625,0.0250000013720002,266116.0,275.88850006103513,60.0040719909668,685.5625
2018-01-05 10:00:00,48.0,48.0,26.0,0.9,51.0,14.0,11.0,,,,,,,
2018-01-05 11:00:00,51.0,51.0,32.0,0.9,45.0,25.0,14.0,,,,,,,
2018-01-05 12:00:00,47.0,47.0,30.0,0.8,43.0,34.0,12.0,50.0,736.25,0.025000000842999668,266320.0,275.8422998046874,60.000103996276856,685.0
2018-01-05 13:00:00,39.0,37.0,27.0,0.6,36.0,49.0,9.0,,,,,,,
2018-01-05 14:00:00,41.0,40.0,29.0,0.5,38.0,56.0,9.0,,,,,,,
2018-01-05 15:00:00,42.0,42.0,29.0,0.5,38.0,47.0,8.0,50.0,735.1875,0.025000000996001068,266468.0,275.8241998291016,60.004871994018565,685.0
2018-01-05 16:00:00,43.0,43.0,25.0,0.4,42.0,43.0,7.0,,,,,,,
2018-01-05 17:00:00,46.0,44.0,32.0,0.4,46.0,39.0,7.0,,,,,,,
2018-01-05 18:00:00,53.0,52.0,37.0,0.5,58.0,24.0,7.0,50.0,735.5,0.025000000722000374,266592.0,275.836600036621,60.00673999786377,685.0
2018-01-05 19:00:00,86.0,97.0,64.0,1.0,79.0,2.0,12.0,,,,,,,
2018-01-05 20:00:00,143.0,149.0,109.0,1.4,89.0,2.0,17.0,,,,,,,
2018-01-05 21:00:00,134.0,139.0,102.0,1.2,79.0,6.0,15.0,50.0,735.9375,0.025000001396000383,266668.0,275.8226998901367,60.0017559967041,685.0
2018-01-05 22:00:00,118.0,116.0,89.0,1.2,85.0,2.0,13.0,,,,,,,
2018-01-05 23:00:00,89.0,97.0,66.0,1.1,83.0,2.0,11.0,,,,,,,
2018-01-06 00:00:00,65.0,71.0,47.0,1.0,76.0,2.0,9.0,50.0,734.25,0.025000000706000256,266888.0,275.8132000732422,60.002759994506846,696.0
2018-01-06 01:00:00,55.0,59.0,35.0,1.0,72.0,2.0,10.0,,,,,,,
2018-01-06 02:00:00,40.0,40.0,27.0,0.8,67.0,2.0,10.0,,,,,,,
2018-01-06 03:00:00,38.0,38.0,21.0,0.7,59.0,8.0,9.0,50.0,736.875,0.0250000007380005,266796.0,275.86600006103515,60.00453999328613,774.6875
2018-01-06 04:00:00,34.0,34.0,21.0,0.6,46.0,24.0,9.0,,,,,,,
2018-01-06 05:00:00,33.0,33.0,17.0,0.7,52.0,15.0,9.0,,,,,,,
2018-01-06 06:00:00,32.0,32.0,16.0,0.6,59.0,9.0,8.0,50.0,739.9375,0.025000001245001333,266120.0,275.8963000488281,60.00378399658203,768.8125
2018-01-06 07:00:00,26.0,26.0,15.0,0.5,44.0,26.0,5.0,,,,,,,
2018-01-06 08:00:00,25.0,25.0,12.0,0.5,46.0,23.0,6.0,,,,,,,
2018-01-06 09:00:00,26.0,26.0,12.0,0.6,43.0,30.0,7.0,50.0,741.375,0.025000001408999783,266172.0,275.88429992675776,60.00189199066162,685.5625
2018-01-06 10:00:00,28.0,28.0,15.0,0.6,37.0,39.0,9.0,,,,,,,
2018-01-06 11:00:00,28.0,28.0,18.0,0.6,34.0,45.0,9.0,,,,,,,
2018-01-06 12:00:00,40.0,40.0,18.0,0.6,36.0,46.0,9.0,50.0,740.625,0.025000001437000933,266116.0,275.8744998168945,60.00233199310303,685.0
2018-01-06 13:00:00,31.0,31.0,20.0,0.5,32.0,60.0,8.0,,,,,,,
2018-01-06 14:00:00,25.0,25.0,16.0,0.5,28.0,63.0,7.0,,,,,,,
2018-01-06 15:00:00,32.0,32.0,19.0,0.4,30.0,62.0,7.0,50.00030000686645,740.6875,0.025000002182999626,266032.0,275.85989990234367,60.00236799621582,685.0
2018-01-06 16:00:00,44.0,44.0,18.0,0.4,33.0,58.0,6.0,,,,,,,
2018-01-06 17:00:00,39.0,39.0,20.0,0.4,36.0,53.0,6.0,,,,,,,
2018-01-06 18:00:00,47.0,47.0,25.0,0.4,59.0,23.0,6.0,50.0,740.0625,0.02500000170100108,265772.0,275.8614999389648,60.00219999694824,685.0
2018-01-06 19:00:00,51.0,52.0,28.0,0.5,64.0,16.0,7.0,,,,,,,
2018-01-06 20:00:00,46.0,46.0,30.0,0.5,56.0,22.0,7.0,,,,,,,
2018-01-06 21:00:00,51.0,51.0,32.0,0.5,63.0,11.0,7.0,50.0,739.0625,0.025000001492001118,265532.0,275.8542999267578,60.00044399261475,685.0
2018-01-06 22:00:00,54.0,57.0,34.0,0.6,65.0,9.0,7.0,,,,,,,
2018-01-06 23:00:00,57.0,63.0,37.0,0.6,70.0,2.0,7.0,,,,,,,
