AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad,Change,Hour,Day,Month,Delta1,Delta3,Mean
72.68080557658091,53.28556690621396,48.59165865951479,0.7624384843387272,8.687116667733562,91.36742949187996,1.9994010955568893,50.00019220684719,788.2398484484198,0.0996748450236864,260692.4070527461,276.2091249578669,60.00194227999925,880.2173918989464,0.18200689526504396,4,20,6,7.0,3.0,54.4
70.96976645015444,47.36642270002032,52.391137360225144,0.7225937643751741,7.863348529563471,82.63060390119722,1.9955748806736373,49.999180515603044,786.2550779894352,0.10135741512244376,260570.15595057164,276.202422386342,60.0035694951395,878.3361004690405,0.1394459898911114,5,20,6,0.1,6.0,52.23333333333333
73.40676792708436,45.39085197470724,54.7617684321533,0.7840184026824001,8.709475871769023,78.64036253327511,2.0047369711443275,49.999668842036066,786.6009282392963,0.10133273463394953,260258.7193305709,276.2408413422965,60.00673556773042,875.5557006352968,0.1051915928236872,6,20,6,1.0,6.0,50.2
74.10580998899097,38.33372713363253,55.46515904098152,0.8191808469389859,10.061554853117467,82.50259866887609,2.0033303443569834,49.99990219883443,784.673438670742,0.09972389611009756,260116.3708266216,276.2414879692992,60.00821186450407,884.976293793636,0.1,7,20,6,1.0,0.1,48.26666666666666
72.83488224748145,31.938057476921745,52.61749834689493,0.7814807721864956,8.649363276340626,99.25537164476015,1.9918095741217603,50.000692532773314,785.9111577072798,0.09965721085728127,260117.1299909467,276.2438559608877,60.007828986043904,880.1058297320717,0.1,8,20,6,0.1,2.0,46.3
77.01233755448452,28.00374035381355,53.712208574954346,0.8107744529781982,6.879302643241553,123.6662886244116,2.0055410465267167,50.001361373032935,788.2166424183102,0.09906797039293053,260011.8533910773,276.23530033588605,60.00727369973647,780.1052884527189,0.1,9,20,6,1.0,2.0,44.46666666666667
77.36350851113616,22.46958055756187,58.71268810887428,0.8927664364647228,6.7631461774003725,144.5554207940107,2.0083151764968927,50.001755752259186,789.7109561146248,0.09993492474433913,259883.0899193503,276.2366290034624,60.00753678188134,772.5217458704786,0.1,10,20,6,3.0,4.0,42.8
62.79767782510894,16.555379440186375,45.68403986344443,0.8166616075843357,6.274787966628773,151.4550014965976,1.9839572546284008,50.001461966154146,788.4598205307228,0.0996410988709172,260078.4631654824,276.23868173909625,60.00643476257928,769.554556173899,0.1,11,20,6,0.1,0.1,41.5
44.1303348168158,10.92081510068859,25.847042874631644,0.5680618723237093,4.8472468788963585,137.71063935356725,1.99893093123836,50.00123324851206,780.6311688847694,0.09943912139085488,260362.09702095488,276.18255238380254,60.00285352400995,686.3576918120054,0.1,12,20,6,0.1,0.1,39.93333333333333
32.40999271120711,6.625194172449088,18.346713058468023,0.3441077062507799,4.036293393856532,108.42278548520453,2.0235827402998634,50.00092521401307,779.3794799784399,0.09933093787187086,260489.7350108531,276.17725029678667,60.00032102002242,679.6390569595377,0.1,13,20,6,0.1,0.1,38.21111111111111
28.653128949650377,6.040970109670925,9.86248175932604,0.2597536922909857,3.5366036053735126,91.67350451917109,1.9838723767415345,49.99954550214113,779.7404637174013,0.0999133182300354,260555.9820491963,276.1760503454261,60.000611902063106,689.6232076308224,0.1,14,20,6,0.1,0.1,37.4
34.98792675781987,7.234069468960715,4.110417266737147,0.22251188369572208,2.8667019317647093,109.0041903376746,1.9786055115846624,50.00018532723643,774.1918674868867,0.0993716970164138,260853.12071418852,276.114707809148,60.00220703346886,681.6307075369341,0.1,15,20,6,0.1,0.1,36.333333333333336
41.393647262615374,9.648830508277381,7.661521288769348,0.1994691454558309,3.2714097450216837,132.12128221042073,2.049948061097533,50.00015505410367,774.5221291285727,0.10008562696858923,260937.7309200966,276.1190315179889,60.001381363518675,688.978809699207,0.1,16,20,6,6.0,0.1,35.333333333333336
41.695755226413816,12.488745445683865,5.524840677375723,0.1950066154511316,4.629924560997458,142.3024525470311,1.9916387891405256,50.0006546161086,774.9097742875572,0.09900935533284598,261049.7491698261,276.12246189864516,60.00171431885068,685.7013413564302,0.1,17,20,6,0.1,0.1,34.166666666666664
56.08097162516492,11.73322456573478,4.416251737559579,0.1957427249159334,6.3473066274492185,161.33410741768037,1.889890961754764,49.99971520817178,771.6992008255501,0.09955511585281576,261169.74260949696,276.0812675400433,60.005136038080394,683.632220147413,0.1,18,20,6,1.0,2.0,33.2
94.51075909423255,15.30369975300341,11.714268806723261,0.21806460567305155,9.83270853364891,201.35118160419327,2.246964450729115,49.99916576044736,772.0308909216038,0.1010163837238295,261352.23425950922,276.08283457199184,60.00672698285821,685.2051639530737,0.3011320401994383,19,20,6,7.0,3.0,32.766666666666666
116.57154267219968,33.59138314947147,15.325983589844085,0.27557045740745584,12.867761438985417,223.14289499734642,2.6837898334830217,49.99844348241231,771.3948426819777,0.10200667981469738,261272.65916740496,276.07721073670086,60.00466649544471,678.8459369952618,0.3271170196052641,20,20,6,3.0,11.0,32.766666666666666
99.44990786573568,47.593011805577824,15.36410235728674,0.3093604257031929,11.514574759638982,205.70035748743092,2.2747411733699976,49.99893246515888,770.1228666353073,0.10007136350493608,261480.9911583254,276.06854009843227,60.0015610811764,697.3017436290837,0.316214946669492,21,20,6,1.0,11.0,32.766666666666666
67.07225609599874,36.29513664716796,16.053420828453017,0.30836117991489753,9.082507531580138,171.81321089534762,1.8381144818614763,50.000549182433936,769.2324990022255,0.09893754685602058,261562.3205680325,276.0622873982421,60.00057344307071,686.8283919768995,0.2765406689270326,22,20,6,0.1,3.0,32.36666666666667
42.37454896860302,18.486051700882513,13.059061277795275,0.28027803346985325,11.151496769842419,129.89559088347207,2.011256005756763,50.00042624903015,769.1707607308939,0.09960932098372403,261356.2406390821,276.06523685467397,60.00103986740481,697.3475972317166,0.2295684113865931,23,20,6,0.1,0.1,31.93333333333333
27.35906149029488,15.742677359493987,8.467851634182015,0.2205306773166598,16.03307563476572,88.52055549687819,2.1236605781027573,50.000849361080114,773.2537077320043,0.09963403443320222,260499.30795414725,276.1267443952813,60.00187478366818,805.2388356137267,0.1126461038961039,0,21,6,0.1,0.1,31.5
21.27355193723956,19.73669726396455,8.079240840358684,0.18739450488695286,18.443388451910923,68.57235925106328,1.8248306768903184,49.998937138528355,773.380168530291,0.0997315528150564,260211.9816920373,276.1316119671233,60.00181337055571,811.3655888266475,0.1,1,21,6,0.1,0.1,31.16666666666667
22.79281525978477,22.04405384313957,9.484215599499962,0.20053613664885991,18.973687612578896,65.26847736209831,2.0835072887554302,50.00011641686912,774.4459917560408,0.10095880334078748,260386.86528931692,276.13641582802813,60.00158177925843,815.6160002822553,0.1,2,21,6,2.0,0.1,30.83333333333333
26.571954502708305,26.035869586467967,8.657246018016929,0.20555002168400535,18.06443254808564,65.7156534435873,3.1104153825323397,50.000287420864716,782.0110558234437,0.0990256479895178,260981.0171416437,276.20902967941674,60.003314799626416,906.4243829741388,0.1,3,21,6,0.1,0.1,30.5
27.395428566418925,28.02782997943704,8.287037658890098,0.1873424244637103,15.52086130000457,66.48216504499648,3.7589906082100804,50.0005189104834,783.1411202419846,0.09937354290592988,261047.59566866237,276.211429084224,60.00449938986544,912.107962524866,0.1,4,21,6,1.0,1.0,30.03333333333333
25.08349246674621,24.867616752479385,10.66080515374667,0.21502073711162853,14.740918857894385,64.5892247056786,4.105610760436627,49.99970668820672,782.6457063311312,0.09976398818891644,260957.2033049679,276.20661319459043,60.00411467164796,901.5026912486983,0.1,5,21,6,1.0,0.1,28.066666666666666
24.80198088699882,24.794206353950344,11.049292979532261,0.2879671204537085,16.561383891768482,58.51797773788851,5.346800843662631,50.00018428103514,785.1389779776396,0.09982430819556018,260625.49666715015,276.23382293484246,60.00348699341094,872.8576896421479,0.1,6,21,6,1.0,3.0,26.03333333333333
