AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad,Change,Hour,Day,Month,Delta1,Delta3,Mean
77.91617894654992,84.5562996524858,57.93268724837143,1.2931327832490815,73.14803563348083,2.619533598196637,1.7146284816804442,49.99890647622342,734.567411940495,0.0983375469339695,265280.00083409256,275.8237663005672,60.00619683691182,700.1450631014592,60.0,0,1,1,60.0,60.0,60.0
87.1898280787636,101.7565409368167,63.997081024798575,1.7481468918355525,79.9216046904539,1.2367375280548665,2.421906180720097,50.00013320152269,734.6993324132063,0.10037041522682644,265280.00082598947,275.8231320737636,60.00440659628587,689.9024650748244,60.0,1,1,1,0.1,60.0,60.0
78.26236310364902,88.25102799107826,58.915489455996074,1.6133705178246054,74.59092196179526,2.2221220182910217,1.7595993144535362,49.999574486518476,734.9429646679648,0.10066320211801333,265279.9996823421,275.8310100414638,60.00204310589775,698.422273312876,61.0,2,1,1,3.0,63.0,61.0
59.12354524507513,63.24378689130558,40.46680237073312,1.1629401124623688,63.685767763838975,2.551457613639036,1.8482401191132765,49.99946092062065,736.7917719934087,0.10051384981777713,265280.0004699776,275.88874988036946,60.00520137180006,772.5796992620334,55.5,3,1,1,0.1,0.1,55.5
51.67900862128663,52.02856291185217,28.673467088141464,0.990364028670114,60.354739171406955,1.3918935720205563,2.373576247821393,49.99910157298869,737.058830364431,0.10072753160807872,265280.0001239801,275.89204075154555,60.00477561080353,786.0202998535465,49.8,4,1,1,0.1,0.1,49.8
44.642868403490226,44.12894902855194,25.21763329802847,0.9727975242999763,59.294690657157524,1.7821287384814766,1.8142758160833456,50.000179149912604,737.176534880507,0.1001682568461895,265279.99917589664,275.8884149424331,60.00381223503421,782.8515613938828,46.16666666666666,5,1,1,1.0,0.1,46.16666666666666
41.49531409421624,41.885262451000365,23.49251303301459,0.9293563677937464,56.450520672402426,3.0349423994739126,1.7685410325243858,50.000268074195205,738.7267564712096,0.10104521605456096,265280.00050940947,275.9096940403369,60.002636848364865,770.8176877856392,42.714285714285715,6,1,1,0.1,0.1,42.714285714285715
48.3321793300327,48.7557509889108,22.619213469930944,0.8882536677889654,54.536649364489435,1.1407688107846967,2.4457368459704885,49.99942044892961,738.5854325198409,0.09887124583812963,265280.0011388049,275.91149823569873,60.003485806771174,771.6239913209903,40.125,7,1,1,0.1,0.1,40.125
44.300336827517576,42.98348080329383,17.50225081331001,0.803631626719188,52.3262184041765,1.5569107441345604,1.7778302245359074,49.999408349905565,738.7556818776151,0.1002831111231216,265280.0005677308,275.9095956416283,60.00344510883779,759.7953033295897,37.77777777777778,8,1,1,0.1,0.1,37.77777777777778
28.353283899023968,25.874391041831764,9.336526863869537,0.68565588855398,46.41166783377074,10.910588689718788,1.798872524800624,49.99990951175253,740.0473811112414,0.10003334496246316,265280.00039866555,275.8993633537491,60.003264350983095,694.5552877807663,34.9,9,1,1,0.1,0.1,34.9
29.60162133386936,28.69243257270186,7.663900710611694,0.6214761311741069,40.13004141943141,22.75531896061668,4.34858010957338,50.001098590070804,740.604872220569,0.10109843039387262,265280.00005007564,275.89373013300343,60.00389763628822,686.1356018605301,0.1,10,1,1,0.1,0.1,32.27272727272727
36.205151248980314,36.23395816364396,10.535663782144043,0.5961498526954196,35.65333331776411,30.102651315441538,5.030208075647344,50.00022575647356,739.9452424891248,0.0991566614724684,265279.9996478968,275.89234405761647,60.003491323658636,692.0452767213086,0.1,11,1,1,7.0,0.1,30.66666666666667
24.847728728649898,25.22557797034341,10.154703470184755,0.5606017196971905,30.81250240354679,36.571137952701534,3.355055962617346,49.999572528372774,738.2783033516243,0.10097892106622833,265279.9993106094,275.86344379915056,60.00163142102426,678.7394308612488,0.1,12,1,1,0.1,0.1,29.0
17.83820548200537,17.887637912839292,11.437555695851536,0.5628694430476265,30.27275225739577,40.54641818833301,4.905892413674891,49.999389529258,737.7919596717288,0.09894499485043186,265279.9994497373,275.8578930943475,60.00062792003599,681.2329724059216,0.1,13,1,1,1.0,4.0,27.642857142857146
33.98778056448762,32.879088463052994,18.409776973829388,0.6519239117439886,35.86487956876961,37.9913702477095,8.479432581873949,49.99989409187898,738.4633290082829,0.10054700932969493,265280.0001921252,275.8658261229459,60.00122075535138,684.4176879445832,0.2388465512867426,14,1,1,12.0,9.0,27.266666666666666
52.70722991273521,54.919191825955494,27.078812760549802,0.8969985304514372,43.049973559903364,32.23583066202872,9.85815206600075,49.999850378082456,738.3347148816214,0.09961971279550068,265280.00063416053,275.8512041062183,60.00161032445803,690.095825346625,0.2289869407572757,15,1,1,1.0,14.0,27.0
63.69502644488811,76.94134072273386,40.06506587306987,1.4462728363662711,54.04497520679265,23.86014942216209,13.438097134817367,49.99885449850151,739.0139510217571,0.1002664980704783,265280.0004757203,275.8582449621004,60.00171987397295,687.0453518170951,0.3688125886087192,16,1,1,20.0,33.0,27.94117647058824
76.5651642068064,98.7904050082567,56.290035588839906,2.1627781159490564,69.64220742664456,11.109465995028751,19.925489840023246,49.99907669474485,738.6686394235602,0.1002097104987296,265280.00023539487,275.856603835365,60.00171659463024,681.6600943730192,0.3815690468024999,17,1,1,12.0,33.0,29.44444444444445
87.99300385646515,111.672967649214,65.58238045107053,2.6691430121844952,77.70348867955181,1.632089641974304,19.379021720638164,49.99908960956753,736.3902331236247,0.09881161799083643,265280.00037499674,275.8314621333693,60.001726406259785,681.2549430045692,0.3748751878715449,18,1,1,11.0,43.0,31.36842105263158
89.88798131532005,112.38760560302879,65.93867213051489,2.8129829344889314,73.64041054918953,1.4891569011602306,11.013200947850144,50.000471373249816,736.2873312917856,0.09967727482562913,265279.9999329155,275.8313477928498,60.001750161265065,687.2238702171929,0.3229471691609755,19,1,1,0.1,22.0,33.05
92.46113398426928,118.56566368812464,69.31373193404384,2.6341631147885085,69.60843131215718,3.3544102418446977,6.070017712229079,49.999664289153394,736.4472649873596,0.09944617132845096,265279.9993766677,275.82503828816954,60.00146466907097,689.8138960528319,0.2840604950706982,20,1,1,7.0,17.0,34.904761904761905
