AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad,Change,Hour,Day,Month,Delta1,Delta3,Mean
97.105198102138,120.43696500454641,72.74495997815562,1.9345707106790315,96.39431925506511,1.9606470460775336,10.226062096564538,50.00141774848395,734.8873191664826,0.09972149857755007,265214.63783017924,275.8255709691085,60.00553046377472,699.5732237456511,69.0,0,1,1,69.0,69.0,69.0
97.86202137033929,107.42723984818308,72.75398730492606,1.6421957959400528,89.92265965430767,2.019722896847153,12.8444927223649,49.99967414716121,735.0403811543284,0.1002014344164084,265214.6401889742,275.8239363572445,60.004225840146674,689.546286129312,73.5,1,1,1,9.0,78.0,73.5
68.74722813247985,74.53138776257103,49.46168122630369,1.2418027505752858,74.36037421816309,2.0318423185288657,10.055104099537305,49.999327744387706,735.1886654343785,0.10015498723689202,265214.6397030345,275.83400284508116,60.00329945670146,698.3453117774546,64.33333333333333,2,1,1,0.1,46.0,64.33333333333333
54.872431568132036,60.022619823831256,36.821299225859924,1.1018856344830297,66.88815271733206,1.9412971421687064,6.912426250743125,50.00034584844979,736.8477123783874,0.0997155081128026,265214.639967778,275.8880904917714,60.00479781511206,772.5759123600876,57.5,3,1,1,0.1,0.1,57.5
51.876811418153274,54.50786092361395,33.677316305493456,0.9603687217491358,65.37757815143945,2.0317253013104684,8.084386434582083,49.99981493788104,737.0266240119116,0.10033997886487654,265214.640962112,275.8913180841286,60.00568493395889,785.9555364370523,53.2,4,1,1,0.1,0.1,53.2
45.93204481389903,46.30721613347298,27.991333250110713,0.7439194673156231,61.579596340296526,2.0269752049942653,9.109897121781424,49.999633781656335,737.2262030870436,0.09933983027395056,265214.64030021353,275.88699174693846,60.00535072739397,782.6001459275003,48.5,5,1,1,0.1,0.1,48.5
38.10301915656638,38.07939749569474,22.097491211393205,0.674188893382142,56.92538853550922,1.9185157706442133,7.595832464151021,49.99967877044838,738.9767455489607,0.10013334870718772,265214.6400554034,275.908771424713,60.00471143756237,770.0296319809173,45.0,6,1,1,0.1,0.1,45.0
34.730636644560626,34.56379160665546,20.075208949823764,0.7020728954630437,55.528093451751715,2.0994955832997992,6.581937212402361,50.000159640303,738.9296979794193,0.09987972469527248,265214.63989666064,275.9142839209964,60.004745615497285,770.7306697883282,41.875,7,1,1,0.1,0.1,41.875
38.92764504820776,38.81678984423013,20.327547356716103,0.7120865005922717,55.80843869202641,1.93818690035602,6.467237154995455,50.000199852460135,739.0646013674246,0.09991160625473358,265214.63984044344,275.90918608365985,60.004816056332366,759.2364974381366,39.333333333333336,8,1,1,0.1,0.1,39.333333333333336
44.34261614564717,44.80589975109525,19.30451109215338,0.6832551934726487,54.18492498148137,1.9534065066911241,6.3116502068068465,49.99966400320453,740.2428741916084,0.10011942867651002,265214.6401308845,275.8973165463832,60.00436006069298,694.3796343667409,37.5,9,1,1,2.0,0.1,37.5
40.58944133885929,40.264673547159546,18.2346200652328,0.608676207427681,49.53994447192206,5.206861583275335,6.938481470096361,49.99971763359884,740.7685351033156,0.09943639076102456,265214.6394124739,275.8952593000021,60.004131454478284,686.1350385359001,0.1,10,1,1,0.1,0.1,35.63636363636363
