AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad,Change,Hour,Day,Month,Delta1,Delta3,Mean
60.303630484986805,47.907156456107714,43.176466705081815,1.601268282038428,37.13299673046514,11.939280989655545,6.034499158104666,49.99879640401429,733.5780128393292,0.10035385975617593,265187.9974755601,275.79502573881445,60.002638175416095,699.1975910340054,43.0,0,1,1,43.0,43.0,43.0
57.58582950363736,45.62352748063914,40.670886727610345,1.5959047984897827,35.18817013773964,12.943566078961947,5.843253407078903,49.99973046380397,733.421819610552,0.0993993701566912,265187.99870815326,275.7907895508936,60.001071432893895,689.9435236840344,42.0,1,1,1,0.1,41.0,42.0
61.226759141373904,50.584966621214406,44.26175516033523,1.6909698530116235,41.816506693283145,6.627635069679696,5.250282167799888,50.00018600667202,733.6643343280665,0.09946676335265726,265187.9987928473,275.7991314925667,60.00340391353048,698.0122743083832,42.66666666666666,2,1,1,3.0,44.0,42.66666666666666
65.93614806596769,52.994237831976186,48.05435755419611,1.7509282226637792,46.58264777409271,3.39373364940709,4.863711543781979,49.99930877258448,736.9680307545256,0.10031934026087397,265188.000048104,275.867229768847,60.006023449088815,767.0332065863049,44.0,3,1,1,4.0,5.0,44.0
61.38667037666318,48.37843015700739,43.95139825331045,1.8052608535791752,46.42941556094856,3.4015823145241835,5.843669151828446,49.99953440137893,737.2463954364903,0.09961424506140602,265188.0005716332,275.8703933478356,60.00519611047238,779.3919171691352,44.0,4,1,1,0.1,3.0,44.0
52.74554259019821,40.90832973624523,37.32346928829789,1.6916928294604077,40.327991412986215,6.664674284422215,5.341936112502931,50.00079094362315,737.3441943367752,0.0987362036605832,265188.0004626987,275.86824281223653,60.00347316960856,776.3645898636969,43.0,5,1,1,0.1,0.1,43.0
48.944677412177676,37.95896000650271,34.41765820521045,1.4488620216874561,35.058394205497486,9.50496813181623,3.7847042746021926,50.00088502919342,739.4921933078491,0.10044685213753517,265188.00048547075,275.9020693593851,60.00313939955496,764.7736540368753,41.57142857142857,6,1,1,0.1,0.1,41.57142857142857
48.519063938719796,41.60427331332218,33.783767929421266,1.4231235398198907,36.27490049256354,8.3915838517088,3.9307210130769734,49.999712916404626,739.4227336828948,0.09935361968627568,265187.99986821803,275.9082272509654,60.003852270862296,765.4626861159602,40.75,7,1,1,2.0,0.1,40.75
50.84152799836448,51.184701717625046,36.00119058422854,1.65091102916824,43.68210753734278,4.240626058998517,5.139751796685292,49.99883619080802,739.6099922105752,0.10071522056978467,265187.9997740812,275.90250746627646,60.003544727072395,754.7478681847799,40.22222222222222,8,1,1,1.0,0.1,40.22222222222222
62.607779675578996,63.46870552133463,45.16610017613642,1.9823175969911844,45.57581786099054,6.514968262071438,7.152951773486258,50.000021548452594,740.4040911674759,0.09916937528505657,265188.0003567253,275.8858223173445,60.003912336723396,693.80450995066,40.6,9,1,1,8.0,11.0,40.6
76.86105214444716,71.30583524527536,56.13113296319069,2.039493295224522,41.412310188779,14.894803697223498,10.518638213727849,50.000579398398905,740.4568231083317,0.1004028811957604,265188.00002443354,275.88167961109343,60.005087837168176,686.1435054550683,0.1,10,1,1,13.0,22.0,42.09090909090909
82.72016395812777,72.79397945482772,60.986220886008255,2.004364761866073,41.33315740201062,22.048195534830867,12.37545792930502,50.0007333141389,739.9319049528386,0.09894096462582552,265187.999231369,275.8806123259241,60.00363423280378,691.7513738679304,0.1,11,1,1,5.0,26.0,43.75
82.59845856055263,69.69899805660312,60.865233935309924,1.9215829691918176,41.674400973108824,28.702799506946697,10.21759581524724,49.999540195892,737.731618261735,0.09939958957891172,265187.9993154854,275.84846744831384,60.00054712257582,679.0412428588088,0.1,12,1,1,0.1,14.0,44.846153846153854
79.45627473737233,64.47949605995593,58.15399464573776,1.420987964510562,35.07323707970301,37.31463911226693,8.229295989411803,50.000049354616785,737.3601080620077,0.10015998743868147,265187.99967249885,275.84324281023373,59.99956763954681,681.5046112108647,0.1,13,1,1,3.0,4.0,46.0
69.57272490003467,58.6989086981062,50.502126881318894,1.1297871143032991,29.63924835608448,42.21547383433883,10.694295571514424,49.9998917842461,737.8573810852607,0.10013603663989078,265187.999402942,275.8501017843202,59.99927670861229,684.3926684216888,0.1,14,1,1,0.1,0.1,46.26666666666666
58.46127074703495,53.47767251641021,41.688001598744066,1.4569276774522926,31.06570644110937,41.18735223637122,14.007628772141855,50.00030273219174,736.2876578259314,0.10072847805460212,265187.99892106204,275.8306793902455,59.99913663879189,689.6062699914488,0.1,15,1,1,0.1,0.1,45.8125
57.17003394057686,52.34098868704582,40.46116639945206,1.6208412254907714,36.94212783285378,35.54543995805991,15.441973093458689,49.99883390159358,736.7925296205412,0.09841746373408958,265187.99920082104,275.8354544401298,60.00044922318863,686.5940776700097,0.1,16,1,1,6.0,0.1,45.764705882352935
70.28595654755239,65.63495361937674,51.020058901883175,1.6135921700197566,47.53212447718182,24.97335131104512,20.14676610740325,49.99970205134725,736.8139904209368,0.099962483691847,265187.9992846689,275.83319795940207,60.00135200990442,682.310581541308,0.1,17,1,1,2.0,0.1,45.83333333333334
90.29097275900637,88.93924310749597,67.07733698633955,2.17100567236034,60.84958423182004,12.031705117752301,29.14325360190681,49.99978747516228,734.6532965545388,0.0998611710492944,265187.99889106123,275.80777757361284,60.00051879398362,681.7614500252632,0.1,18,1,1,22.0,30.0,47.05263157894736
98.22778702848134,98.94185050970468,73.08218363403898,2.6007483937991243,65.68921798541713,5.028302153367601,32.7507762356573,50.001115409106724,734.756239855709,0.10166671316552177,265187.9993533984,275.8130976459049,60.0005021413177,687.1288463234257,0.1,19,1,1,4.0,28.0,48.35
93.49486632490752,92.22505281827408,69.29170073675422,2.2756474662885333,60.76384371813594,5.475920075764541,26.29161160405364,50.000127543336326,734.6952527844563,0.099656895037192,265188.0003317086,275.808154863786,60.00207254458127,689.4010436687752,0.1,20,1,1,0.1,22.0,49.33333333333334
99.25322346555815,89.62497531979912,74.33369195795832,2.437449217048894,59.27496142392644,5.043554336650558,19.80641031631362,50.00020079336825,733.875893008062,0.10002083105084712,265188.00029665825,275.78948151024446,60.002390070386184,685.2969396441297,0.1,21,1,1,5.0,5.0,50.45454545454545
124.28180550252442,95.71215105437321,94.49176979241794,3.265734156539057,61.11258380439209,4.008119273712826,16.975939935195616,49.99944531907372,733.4815602319327,0.10025356618556483,265187.99990340136,275.7865164200515,60.00072906157062,680.9100427507237,0.11153888298323376,22,1,1,21.0,22.0,52.39130434782609
146.01751959000902,94.41935453321081,111.7738283303733,3.2474050070914364,58.82584488013703,4.08684695873878,15.398008491004505,49.999782546259524,733.7616760451252,0.10082175545744593,265187.9995179503,275.7877116922171,59.9997299916,677.6150989401332,0.1317621132489399,23,1,1,17.0,43.0,54.875
144.25104528240718,86.26407212133059,110.19203051291115,3.000618996233306,54.264020032661904,3.273897011896733,13.049176950550061,49.998966216123584,736.4707358191446,0.10051648446809648,265188.0001523639,275.8101967649886,59.999836576202995,700.6494182445413,0.11226617883177906,0,2,1,0.1,35.0,57.04
