,ground_truth,prediction
0,4.810000324249267,6.623822212219238
1,4.5000000047683715,6.655875282287598
2,4.440000033378601,7.323237402439117
3,6.320000071525573,7.87723337650299
4,5.069999732971191,7.5146617603302
5,4.029999995231629,6.163411207199096
6,7.3699999213218685,7.085304970741272
7,4.7999998617172235,7.061515407562256
8,5.930000257492066,7.208663518428803
9,5.080000195503235,8.487729125022888
10,5.820000076293945,8.729526948928832
11,7.049999840259551,8.495090157985688
12,8.580000162124634,8.918896470069885
13,4.449999794960022,9.443819115161896
14,4.629999709129334,7.735082693099975
15,4.610000185966491,8.370878903865814
16,4.919999804496765,8.686448276042938
17,18.63000027656555,15.089747344255446
18,13.44000003516674,16.239568345546722
19,11.94000000566244,15.545761811733245
20,14.370000029802322,8.467169542312622
21,8.089999928474427,6.003405208587647
22,11.809999994635582,7.74173015832901
23,16.119999837875366,14.11167887210846
24,6.069999723434448,6.615896563529968
25,5.280000333786011,6.251046156883239
26,6.110000171661377,6.5191086006164545
27,9.160000002384185,8.676133086681366
28,6.9100000238418575,10.074541319608688
29,12.12000000745058,7.6057485413551325
30,4.219999670982361,5.7674175643920895
31,4.599999723434448,6.002366399765014
32,5.4999999952316285,8.938442478179931
33,6.410000028610229,8.831356499195099
34,10.18000004172325,8.198860363960266
35,6.280000324249268,6.545337471961975
36,3.5399997615814205,6.4262690925598145
37,3.3400003242492673,6.935562992095947
38,7.4800001025199885,6.725791602134704
39,9.930000044107437,7.056127901077271
40,5.859999823570251,10.099149768352508
41,8.980000088214874,9.715798120498658
42,3.919999814033508,5.733859553337097
43,4.089999966621399,5.8921412134170525
44,3.0200002431869506,6.407582449913025
45,5.479999771118164,7.997270119190215
46,7.719999988079071,8.834377596378326
47,12.320000000614673,8.304180998802185
48,9.460000034570694,10.004193214178086
49,9.859999960660934,14.073765504360198
50,6.299999847412109,8.606395859718322
51,4.239999895095825,4.838810095787048
52,3.900000290870666,4.341734466552734
53,4.299999866485596,5.636185588836669
54,3.5000000143051144,6.668782587051392
55,3.1400001859664917,5.534535131454468
56,4.20999990940094,7.173228712081909
57,14.780000067949295,9.223679614067077
58,11.420000005364418,8.796206629276275
