,ground_truth,prediction
818,26.999998450279236,40.56898446381092
819,21.99999874830246,31.488831341266632
820,16.999999046325684,22.63065394759178
821,20.999998807907104,22.06488862633705
822,25.99999850988388,25.130863547325134
823,38.9999977350235,38.79785466194153
824,32.99999809265137,41.54967840015888
825,38.9999977350235,44.51656527817249
826,37.99999779462814,45.391080752015114
827,65.99999954551458,66.21181271970272
828,74.9999998640269,76.98828430846334
829,78.00000000582077,74.87036459520459
830,57.99999888241291,64.83289483189583
831,58.9999999627471,62.484474927186966
832,48.99999941885471,49.76125741004944
833,24.999998569488525,37.019135147333145
834,16.999999046325684,26.947096168994904
835,12.999999284744263,20.572106808423996
836,6.999999642372131,19.559280276298523
837,3.9999998211860657,18.96868708729744
838,5.999999701976776,19.139490962028503
839,4.999999761581421,17.34951341152191
840,6.999999642372131,16.14777621626854
841,9.999999463558197,14.667711555957794
842,9.999999463558197,12.821389108896255
843,4.999999761581421,12.586780577898026
844,9.66666767001152,12.810988306999207
845,14.33333557844162,12.904098510742188
846,18.999998927116394,13.719788581132889
847,13.999999225139618,15.032446384429932
848,5.999999701976776,16.627708703279495
849,14.999999165534973,20.414357513189316
850,19.99999886751175,22.624338686466217
851,14.999999165534973,27.69878551363945
852,14.999999165534973,28.543129086494446
853,16.999999046325684,26.903482109308243
854,21.99999874830246,26.358194649219513
855,23.99999862909317,30.970564991235733
856,42.99999977648258,40.31071080267429
857,76.99999999417923,37.76034161448479
858,72.9999999832362,37.32330730557442
859,64.99999960511923,44.432041093707085
860,24.999998569488525,39.38120923936367
861,23.99999862909317,32.10424327850342
862,25.99999850988388,26.394777566194534
863,26.999998450279236,23.29457712173462
864,30.999998211860657,27.716782867908478
865,35.99999791383743,32.958089381456375
866,48.99999941885471,42.26873357594013
867,69.99999987706542,53.99183487892151
868,78.00000000582077,65.81461015343666
869,66.99999948590994,70.40600163117051
870,65.99999954551458,65.17424495518208
871,56.999998942017555,55.41821298003197
872,48.99999941885471,46.178258672356606
873,47.99999947845936,44.76157005131245
874,54.999999061226845,56.71123419702053
875,61.99999978393316,63.72959591448307
876,66.99999948590994,68.20706760510802
877,68.99999993667006,76.29619609564543
878,79.00000005308539,81.1151515673846
879,91.00000033527613,84.59144946560264
880,81.00000007636845,87.16613525897264
881,78.00000000582077,87.69273000210524
882,69.99999987706542,87.7701535075903
883,75.99999994691461,85.17653219029307
884,70.99999981746078,83.31949146836996
885,71.99999975785613,91.1015517860651
886,79.00000005308539,84.17784260958433
887,78.00000000582077,84.92856528609991
888,79.00000005308539,77.66931796446443
889,87.00000000372529,75.32955589517951
890,80.0000001359731,74.32261030748487
891,74.9999998640269,79.22810851037502
892,82.0000000167638,82.03002201579511
893,92.00000027567148,88.3641459941864
894,94.00000015646219,90.57149504870176
895,93.00000021606684,93.45334134995937
896,97.00000111758709,91.64971417188644
897,94.00000015646219,98.31035624444485
898,113.00000016391277,109.05058632791042
899,122.00000190734863,118.12849149107933
900,122.00000190734863,125.21315661072731
901,117.00000220537186,127.43549472093582
902,116.0000022649765,128.2925144135952
903,120.00000202655792,124.87904053926468
904,125.0000017285347,127.0236120223999
905,117.00000220537186,129.10067176818848
906,112.00000022351742,129.87529668211937
907,110.00000034272671,131.66554325819016
908,112.00000022351742,130.73070222139359
